term,code(s)
heavy equipment operator,859
water well drillers,859
water well driller,859
demolition workers,"859, 869"
demolition worker,"859, 869"
carpenters,860
carpenter,860
bricklayers,861
bricklayer,861
"marble, tile, and terrazzo workers",861
"marble, tile, and terrazzo worker",861
stonemasons,861
stonemason,861
plumbers and pipe fitters,862
plumbers and pipe fitter,862
insulation workers,863
insulation worker,863
floor covering installers,864
floor covering installer,864
glaziers,865
glazier,865
construction laborers,869
construction laborer,869
manufactured home assemblers and installers,869
manufactured home assemblers and installer,869
riggers,869
rigger,869
railroad track workers,"869, 910"
railroad track worker,"869, 910"
swimming pool servicers,"891, 869"
swimming pool servicer,"891, 869"
highway maintenance workers,899
highway maintenance worker,899
long-haul truck drivers,905
long-haul truck driver,905
local truck drivers,905–906
local truck driver,905–906
refuse workers,"909, 955"
refuse worker,"909, 955"
railroad brakers,910
railroad braker,910
railroad engineers,910
railroad engineer,910
local transit operators,"910, 913"
local transit operator,"910, 913"
marina workers,911
marina worker,911
ordinary and able seamen,911
ordinary and able seame,911
dock workers,"911, 922"
dock worker,"911, 922"
airline dispatchers,912
airline dispatcher,912
airport utility workers,912
airport utility worker,912
flight information coordinators and radio operators,912
flight information coordinators and radio operator,912
intercity bus drivers,913
intercity bus driver,913
special service bus drivers,913
special service bus driver,913
taxi drivers,913
taxi driver,913
car wash workers,915
car wash worker,915
fleet managers,915
fleet manager,915
gas station attendants,915
gas station attendant,915
parking attendants,915
parking attendant,915
tire changers/repairers,915
tire changers/repairer,915
tow truck operators,919
tow truck operator,919
power truck operators,929
power truck operator,929
coal miners,"930–934, 939"
coal miner,"930–934, 939"
metal miners,"930–934, 939"
metal miner,"930–934, 939"
stationary engineers,950
stationary engineer,950
power plant workers,"950, 952"
power plant worker,"950, 952"
boiler tenders,950–951
boiler tender,950–951
water resource engineers,954
water resource engineer,954
hazardous waste management technicians,955
hazardous waste management technician,955
wastewater treatment plant operators,955
wastewater treatment plant operator,955
motion picture projectionists,960
motion picture projectionist,960
choreographers,962
choreographer,962
film editors,962
film editor,962
lighting technicians,962
lighting technician,962
stagehands,962
stagehand,962
lithographic workers,"971–972, 979"
lithographic worker,"971–972, 979"
darkroom technicians,976
darkroom technician,976
reprographic workers,976
reprographic worker,976
desktop publishers,979
desktop publisher,979
bebop,KZ-Music
classical,KZ-Music
country,KZ-Music
dixieland,KZ-Music
expressionist,KZ-Music
folk,KZ-Music
gospel,KZ-Music
impressionist,KZ-Music
jazz,KZ-Music
Latin,KZ-Music
modernist,KZ-Music
neoclassical,KZ-Music
neoromantic,KZ-Music
pop,KZ-Music
popular,KZ-Music
punk,KZ-Music
R&B,KZ-Music
reggae,KZ-Music
rock,KZ-Music
rock 'n' roll,KZ-Music
romantic,KZ-Music
soul,KZ-Music
accordion,KZ-Music
alto,KZ-Music
baritone,KZ-Music
baritone,KZ-Music
bass,KZ-Music
bassoon,KZ-Music
bugle,KZ-Music
celeste,KZ-Music
cello,KZ-Music
clarinet,KZ-Music
coloratura,KZ-Music
didgeridoo,KZ-Music
double bass,KZ-Music
drum set,KZ-Music
electric bass,KZ-Music
electric guitar,KZ-Music
English horn,KZ-Music
euphonium,KZ-Music
fife,KZ-Music
flute,KZ-Music
French horn,KZ-Music
glockenspiel,KZ-Music
guitar,KZ-Music
harmonica,KZ-Music
harp,KZ-Music
horn,KZ-Music
hurdy-gurdy,KZ-Music
instrument,KZ-Music
Jew's harp,KZ-Music
koto,KZ-Music
lute,KZ-Music
marimba,KZ-Music
melodica,KZ-Music
ney,KZ-Music
oboe,KZ-Music
ocarina,KZ-Music
organ,KZ-Music
piano,KZ-Music
piano,KZ-Music
piccolo,KZ-Music
quena,KZ-Music
ryuteki,KZ-Music
saxophone,KZ-Music
soprano,KZ-Music
tenor,KZ-Music
timpani,KZ-Music
trombone,KZ-Music
trumpet,KZ-Music
tuba,KZ-Music
ukulele,KZ-Music
viola,KZ-Music
violin,KZ-Music
whistle,KZ-Music
xylophone,KZ-Music
yunluo,KZ-Music
zither,KZ-Music
[instrument] player,KZ-Music
member of [musical group],KZ-Music
Band,KZ-Music
Choir,KZ-Music
choir,KZ-Music
chorus,KZ-Music
duet,KZ-Music
Ensemble ,KZ-Music
nonet,KZ-Music
octet,KZ-Music
octet,KZ-Music
Orchestra,KZ-Music
Philharmonic,KZ-Music
quartet,KZ-Music
quintet,KZ-Music
septet,KZ-Music
sinfonietta,KZ-Music
Symphony,KZ-Music
trio,KZ-Music
album,KZ-Music
aria,KZ-Music
concert,KZ-Music
concerto,KZ-Music
improv,KZ-Music
improvisation,KZ-Music
musical,KZ-Music
opera,KZ-Music
operetta,KZ-Music
performance,KZ-Music
piece,KZ-Music
radio,KZ-Music
recording,KZ-Music
score,KZ-Music
single,KZ-Music
sonata,KZ-Music
song,KZ-Music
standard,KZ-Music
track,KZ-Music
"read more: dictionary of occupational titles/occupational information network/group numbers - compensation, workers",and Technicians - StateUniversity.com http://careers.stateuniversity.com/pages/864/Dictionary-Occupational-Titles-Occupational-Information-Network-Group-Numbers.html#ixzz4x1Ai53a7
"read more: dictionary of occupational titles/occupational information network/group numbers - compensation, worker",and Technicians - StateUniversity.com http://careers.stateuniversity.com/pages/864/Dictionary-Occupational-Titles-Occupational-Information-Network-Group-Numbers.html#ixzz4x1Ai53a7
dr.,isco08-0
stockbroker,isco08-0
widow,isco08-0
railway consultant,isco08-0
businessman,isco08-0
psychiatrist,isco08-0
son,isco08-0
senior vice president,isco08-1
administrator,isco08-1
chief,isco08-1
maj.,isco08-1
chairman,isco08-1
leading executive,isco08-1
director,isco08-1
army officer,isco08-1
business executive,isco08-1
captain,isco08-11
rear adm.,isco08-11
adviser,isco08-11
admiral,isco08-11
maj. gen.,isco08-11
army,isco08-11
chief executive,isco08-11
president,isco08-11
executive vice president,isco08-11
chairman,isco08-11
vice adm.,isco08-11
commander,isco08-11
capt.,isco08-11
executive,isco08-11
lieutenant colonel,isco08-11
general,isco08-11
colonel,isco08-110
first lieutenant,isco08-110
marshal,isco08-110
governor,isco08-111
democrat,isco08-1111
representative,isco08-1111
assembly democratic leader,isco08-1111
legislator,isco08-1111
iranian national front,isco08-1111
deputy minister,isco08-1111
president,isco08-1111
member of parliament,isco08-1111
deputy labor leader,isco08-1111
artist,isco08-1111
minister,isco08-1111
congressional district,isco08-1111
treasury secretary,isco08-1112
surgeon general,isco08-1112
aide to prime minister,isco08-1112
queen mother,isco08-1112
deputy director,isco08-1112
minister without portfolio,isco08-1112
iranian national front,isco08-1112
secretary of the navy,isco08-1112
president,isco08-1112
chief,isco08-1112
international trade negotiator,isco08-1112
prime minister,isco08-1112
chairman,isco08-1112
arms control negotiator,isco08-1112
executive director,isco08-1112
minister,isco08-1112
politician,isco08-1112
governor,isco08-1112
diplomat,isco08-1112
ambassador,isco08-1112
deputy under secretary of state,isco08-1112
general staff,isco08-1112
mayor,isco08-1112
chancellor,isco08-1112
representative,isco08-1112
governor,isco08-1112
tribal leader,isco08-1113
founder,isco08-1114
president,isco08-1114
chairman of the board of directors,isco08-1114
associate executive director,isco08-1114
executive director,isco08-1114
member of the board,isco08-1114
director,isco08-1114
founder,isco08-112
founded,isco08-112
officer on the boards,isco08-112
managing director,isco08-112
president,isco08-112
chairman of the board,isco08-112
chairman,isco08-112
vice chairman,isco08-112
cofounder,isco08-112
executive director,isco08-112
partner,isco08-112
trustee,isco08-112
director,isco08-112
founder,isco08-1120
founded,isco08-1120
commissioner,isco08-1120
chief executive officer,isco08-1120
chief executive officr,isco08-1120
chief executive,isco08-1120
president,isco08-1120
rev.,isco08-1120
priest,isco08-1120
owner,isco08-1120
chairman,isco08-1120
vice chairman,isco08-1120
executive director,isco08-1120
member of board,isco08-1120
partner,isco08-1120
